cust_id,age,gender,account_type,mob,state,"wallet_segment(15,50,+)",avg_monthly_balance,avg_monthly_spend,total_balance,credit_score,invested_products
125,38,Male,Saving,17,NE,MW,44671,50336,117018,>=670 & <740,4
126,51,Female,Checking,65,LS,MW,84761,111357,-137953,>=670 & <740,3
127,74,Male,Checking,44,MN,MW,5236,6579,-10608,>=670 & <740,5
128,34,Female,Saving,88,MN,LW,15842,21364,-69614,>=620 & <670,5
129,65,Female,Saving,72,MS,MW,32491,35916,61557,>=670 & <740,2
130,73,Female,Investment,7,NE,MW,17413,15958,55149,>=620 & <670,5
131,48,Male,Saving,45,KT,MW,100,128,244,>=740,3
132,72,Male,Investment,85,NE,LW,31714,26828,14658,>=670 & <740,0
133,29,Male,Investment,85,FL,LW,3442,4360,-918,>=740,4
134,31,Female,Checking,59,TX,LW,41839,36838,88679,>=740,0
135,27,Male,Investment,7,NJ,LW,7014,8386,-5488,>=670 & <740,2
136,31,Male,Checking,56,NJ,LW,68748,83228,25308,>=620 & <670,1
137,43,Male,Saving,27,NE,HW,10418,13445,-9081,>=670 & <740,0
138,18,Female,Investment,56,WS,LW,21948,23689,-27171,>=620 & <670,3
139,73,Male,Checking,3,MN,HW,50337,69258,-25347,>=740,3
140,63,Female,Checking,15,FL,LW,100,89,144,>=740,5
141,41,Male,Checking,14,CA,MW,35686,34273,-101406,>=740,2
142,65,Female,Saving,43,WS,LW,62678,73327,166736,>=740,2
143,40,Male,Saving,14,WS,LW,100,75,125,>=620 & <670,5
144,49,Female,Investment,98,LS,MW,34615,49559,24398,>=740,5
145,38,Male,Checking,9,MN,MW,36497,31845,77646,>=670 & <740,4
146,22,Female,Checking,58,MS,LW,49545,66812,-17267,>=740,4
147,50,Female,Checking,75,KT,HW,100,126,-404,>=740,4
148,59,Male,Checking,78,MN,MW,100,146,254,>=740,2
149,63,Male,Investment,83,WS,LW,43048,53244,65704,>=670 & <740,2
150,36,Female,Checking,100,TX,MW,37424,24218,151890,>=620 & <670,2
151,24,Female,Checking,33,LS,HW,36262,32636,116038,>=670 & <740,2
152,59,Female,Saving,77,NJ,MW,38661,36303,43377,>=740,5
153,71,Male,Investment,86,FL,MW,12999,8012,22973,>=670 & <740,2
154,67,Female,Saving,29,WS,LW,35806,31015,4791,>=740,2
155,74,Male,Investment,49,WS,LW,37326,50323,85984,>=740,3
156,20,Female,Checking,87,CA,HW,12141,13956,17022,>=670 & <740,4
157,33,Female,Checking,25,TX,MW,76644,85333,-34756,>=740,2
158,67,Female,Investment,68,FL,HW,41845,55871,97483,>=740,2
159,21,Female,Checking,71,NJ,HW,217,230,-473,>=620 & <670,1
160,35,Female,Investment,19,FL,LW,46413,65881,-11991,>=620 & <670,3
161,21,Female,Investment,48,CA,MW,5632,3792,7472,>=670 & <740,0
162,71,Female,Saving,18,MS,LW,49677,66904,164254,>=740,5
163,48,Female,Investment,1,NJ,LW,58964,46822,-69360,>=620 & <670,2
164,33,Female,Saving,7,CA,MW,9482,12464,25464,>=620 & <670,3
165,56,Male,Investment,66,LS,LW,54084,39439,176897,>=740,2
166,33,Female,Saving,86,NJ,MW,40319,37276,164319,>=670 & <740,3
167,20,Female,Checking,33,MS,MW,50551,33404,67698,>=740,4
168,65,Female,Saving,6,TX,MW,77419,103134,-257698,>=740,3
169,58,Male,Saving,9,MN,LW,23865,18648,29082,>=670 & <740,2
170,50,Female,Investment,61,NE,LW,11156,13188,-6096,>=740,0
171,73,Female,Checking,16,TX,MW,7762,7451,1244,>=670 & <740,1
172,49,Female,Checking,67,NE,HW,9604,12047,-38584,>=740,1
173,52,Female,Checking,14,NJ,MW,28072,24312,15040,>=620 & <670,5
174,46,Female,Checking,6,TX,MW,38528,38198,192970,>=620 & <670,5
175,58,Female,Checking,66,WS,HW,36917,26894,77009,>=620 & <670,1
176,22,Male,Investment,47,TX,MW,50679,56280,140835,>=740,3
177,41,Female,Checking,98,NJ,MW,30325,32645,23365,>=740,2
178,33,Male,Saving,95,WS,MW,66338,62907,268783,>=670 & <740,2
179,63,Female,Saving,79,NE,MW,23383,35045,11721,>=620 & <670,0
180,46,Male,Investment,57,NJ,HW,98004,144144,-138420,>=740,0
181,53,Female,Checking,21,WS,HW,45641,48282,-50923,>=740,1
182,33,Female,Saving,47,KT,MW,8571,8748,25359,>=740,0
183,22,Female,Checking,92,MN,MW,3227,4170,11965,>=620 & <670,2
184,59,Male,Checking,60,KT,MW,42061,58471,93363,>=740,1
185,45,Male,Saving,67,WS,MW,24413,18206,110066,>=670 & <740,4
186,75,Female,Saving,33,CA,MW,47850,52431,-61593,>=740,4
187,23,Male,Investment,75,WS,LW,41830,48607,63329,>=740,4
188,20,Male,Saving,6,LS,LW,28179,22253,51883,>=740,5
189,19,Female,Investment,70,NE,MW,8830,7698,-13132,>=670 & <740,3
190,22,Male,Saving,57,FL,MW,100,78,344,>=670 & <740,5
191,38,Female,Checking,17,TX,MW,18837,13102,-14734,>=620 & <670,2
192,46,Male,Saving,13,MS,LW,51409,48619,62569,>=670 & <740,1
193,70,Female,Investment,93,TX,LW,35352,26280,71640,>=740,2
194,49,Male,Saving,51,KT,MW,100,81,257,>=620 & <670,0
195,36,Female,Investment,84,MN,LW,34329,20850,-49071,>=620 & <670,2
196,64,Female,Checking,47,MS,MW,39632,44120,-53096,>=740,2
197,22,Female,Investment,58,KT,LW,7903,11776,35642,>=620 & <670,0
198,43,Female,Checking,72,TX,HW,33843,26368,63743,>=740,0
199,20,Male,Saving,92,TX,HW,31455,33575,-4240,>=670 & <740,4
200,38,Male,Checking,79,NE,MW,1425,1505,1105,>=740,4
201,37,Female,Saving,48,TX,MW,38944,57711,21587,>=740,5
202,73,Male,Investment,61,NE,HW,44019,57427,105241,>=740,0
203,55,Female,Saving,68,LS,HW,57076,53775,234906,>=620 & <670,4
204,62,Male,Saving,3,MN,MW,56345,41486,255098,>=670 & <740,4
205,67,Female,Investment,94,MS,HW,100,106,182,>=740,3
206,51,Female,Checking,23,MN,HW,6554,5951,1809,>=740,3
207,30,Male,Checking,72,NE,LW,42875,63267,-61176,>=740,1
208,62,Female,Checking,62,TX,MW,42844,61739,71847,>=670 & <740,0
209,54,Female,Checking,45,WS,LW,42876,36824,220432,>=670 & <740,3
210,59,Female,Investment,62,CA,LW,126318,137019,220533,>=620 & <670,0
211,57,Male,Saving,7,KT,LW,44272,35840,-99088,>=670 & <740,5
212,48,Male,Investment,99,WS,LW,58389,63954,-139038,>=740,3
213,48,Male,Checking,42,NE,MW,53850,76313,-98776,>=740,5
214,64,Male,Saving,54,WS,HW,46284,29284,68000,>=620 & <670,5
215,73,Female,Saving,2,NE,MW,22118,15406,20136,>=670 & <740,5
216,52,Female,Saving,65,MN,LW,48974,65034,16854,>=740,3
217,59,Female,Investment,24,MS,HW,10679,14007,25381,>=620 & <670,4
218,72,Female,Checking,66,TX,LW,24079,28950,-9742,>=740,2
219,33,Male,Checking,50,CA,MW,17865,15011,8562,>=740,5
220,54,Male,Checking,84,TX,MW,32046,21019,-52030,>=670 & <740,1
221,43,Female,Investment,16,NE,MW,87866,70184,-105004,>=620 & <670,3
222,65,Female,Checking,90,KT,HW,100,128,344,>=740,1
223,61,Male,Investment,58,KT,HW,47156,31608,204172,>=620 & <670,4
224,75,Male,Investment,69,WS,LW,100,136,264,>=740,1
225,63,Female,Saving,66,MN,HW,18201,18348,17613,>=670 & <740,4
226,21,Female,Investment,40,MS,MW,57223,76381,190576,>=740,0
227,20,Female,Checking,90,NJ,MW,31607,20678,-51105,>=620 & <670,2
228,44,Male,Saving,99,FL,MW,3056,4285,-4916,>=670 & <740,0
229,61,Male,Investment,45,NJ,LW,12117,13129,34327,>=740,1
230,71,Male,Saving,39,MN,MW,46989,51218,30073,>=740,1
231,33,Female,Checking,20,NE,LW,11740,16291,-4551,>=740,5
232,44,Male,Saving,27,NJ,LW,35411,22316,154739,>=670 & <740,5
233,20,Female,Checking,30,KT,LW,31139,42889,-54639,>=740,2
234,32,Female,Investment,77,TX,LW,13709,19036,44182,>=670 & <740,2
235,35,Male,Investment,76,WS,MW,83598,82300,252092,>=670 & <740,5
236,60,Female,Investment,41,FL,MW,45847,39882,-67834,>=670 & <740,1
237,37,Male,Checking,8,KT,MW,100,97,306,>=670 & <740,1
238,34,Male,Checking,83,NJ,HW,34661,47222,-59783,>=620 & <670,2
239,42,Male,Saving,25,LS,HW,13455,14840,24140,>=740,2
240,37,Male,Saving,25,NJ,HW,51310,65620,-28620,>=670 & <740,1
241,53,Female,Checking,49,MN,MW,10186,9405,2343,>=740,3
242,47,Male,Investment,61,TX,HW,27131,25330,83194,>=740,1
243,65,Male,Saving,34,KT,HW,42624,47791,27123,>=620 & <670,1
244,39,Male,Checking,73,CA,MW,51643,61411,125625,>=670 & <740,3
245,64,Female,Checking,22,TX,LW,100,124,152,>=740,4
246,59,Male,Investment,5,NJ,HW,21637,25994,-82339,>=620 & <670,5
247,32,Male,Investment,20,MS,LW,18126,18314,-55130,>=740,3
248,19,Male,Investment,71,FL,LW,13666,14711,-3135,>=620 & <670,4
249,70,Female,Saving,14,NJ,MW,74136,60559,189003,>=740,2
250,35,Female,Saving,48,FL,MW,40124,32857,175030,>=670 & <740,5
251,70,Male,Investment,84,MS,LW,100,94,124,>=620 & <670,5
252,18,Male,Saving,64,FL,MW,52946,47553,5393,>=670 & <740,1
253,75,Female,Checking,6,NJ,MW,83053,70789,344476,>=620 & <670,2
254,19,Male,Investment,19,FL,HW,55811,48519,182017,>=740,3
255,61,Female,Checking,97,WS,HW,100,122,-266,>=620 & <670,0
256,45,Male,Saving,44,LS,HW,17894,26114,-6766,>=620 & <670,5
257,35,Female,Checking,30,TX,MW,61672,57841,-108020,>=620 & <670,4
258,36,Male,Investment,10,NJ,LW,12308,11594,50660,>=740,3
259,38,Female,Saving,12,MS,HW,41095,41105,82180,>=620 & <670,0
260,29,Female,Checking,72,KT,MW,49365,34208,-53259,>=740,0
261,56,Female,Checking,2,NE,MW,6826,8882,23192,>=740,4
262,28,Female,Saving,18,NE,MW,28511,29760,-31009,>=670 & <740,2
263,44,Female,Checking,10,TX,LW,100,82,272,>=740,4
264,30,Female,Saving,18,NE,LW,4390,4197,5162,>=740,2
265,46,Female,Checking,84,LS,LW,23685,21046,100018,>=740,2
266,29,Female,Checking,38,MN,HW,100,130,-220,>=670 & <740,3
267,41,Male,Investment,26,LS,HW,70810,53952,300098,>=740,3
268,63,Male,Checking,38,NJ,HW,100,131,-124,>=620 & <670,5
269,37,Male,Checking,85,WS,HW,18998,24890,-80562,>=740,3
270,55,Female,Investment,65,FL,MW,33268,43635,56169,>=620 & <670,1
271,60,Female,Saving,83,LS,LW,66031,98072,3898,>=740,2
272,68,Female,Saving,2,NJ,LW,100,105,290,>=670 & <740,2
273,43,Female,Investment,76,KT,LW,59079,88496,147820,>=670 & <740,3
274,23,Male,Investment,19,TX,MW,30255,30551,-61694,>=670 & <740,3
275,24,Female,Investment,90,MN,MW,5462,4753,28019,>=620 & <670,2
276,59,Male,Investment,22,CA,MW,41552,45570,-57624,>=670 & <740,1
277,69,Female,Investment,24,WS,MW,34976,34588,-34200,>=670 & <740,4
278,45,Female,Saving,91,CA,LW,14994,19148,-4154,>=740,4
279,29,Female,Checking,26,MN,LW,31745,38209,12353,>=740,3
280,57,Female,Investment,15,TX,MW,20367,20612,-21102,>=740,4
281,23,Male,Checking,16,CA,MW,32837,25111,146800,>=740,3
282,44,Male,Investment,50,FL,LW,46553,54557,170204,>=740,1
283,49,Female,Saving,24,TX,HW,69650,80617,128333,>=740,1
284,30,Female,Investment,65,MN,MW,100,104,184,>=740,1
285,23,Male,Saving,38,MS,LW,83325,90311,-194594,>=740,5
286,67,Female,Investment,66,NJ,MW,100,84,248,>=740,0
287,66,Female,Investment,28,FL,LW,26205,35299,-53487,>=740,0
288,46,Female,Checking,12,MN,HW,44707,31547,26320,>=740,5
289,55,Female,Investment,79,FL,LW,37024,26853,20342,>=740,0
290,54,Female,Investment,36,LS,MW,14432,12863,48003,>=670 & <740,4
291,35,Male,Saving,97,FL,HW,24796,37026,74724,>=740,1
292,33,Male,Investment,42,CA,HW,17674,21360,27976,>=740,5
293,35,Female,Checking,58,NJ,MW,15265,21250,-69735,>=740,5
294,35,Female,Checking,63,TX,MW,51240,70814,236626,>=740,3
295,58,Female,Saving,69,FL,LW,38925,38406,-75774,>=670 & <740,2
296,71,Female,Checking,71,LS,LW,12677,17331,20700,>=620 & <670,0
297,58,Female,Saving,16,WS,MW,52489,31525,146906,>=740,1
298,74,Female,Saving,36,NJ,MW,37682,31100,50846,>=620 & <670,3
299,58,Female,Investment,90,CA,MW,50321,34322,15999,>=670 & <740,3
300,22,Male,Investment,29,KT,MW,45740,27826,190962,>=740,0
301,73,Female,Investment,17,MN,LW,9275,8762,46888,>=620 & <670,2
302,41,Female,Saving,49,WS,MW,15995,19344,-3349,>=740,5
303,28,Female,Checking,93,CA,MW,48682,35841,51364,>=740,1
304,23,Male,Saving,97,NJ,MW,45259,42798,52642,>=740,1
305,33,Female,Investment,11,CA,MW,29477,33603,46576,>=740,5
306,19,Female,Saving,67,LS,MW,32933,41925,56874,>=740,1
307,49,Female,Saving,31,MN,MW,61941,41123,-61428,>=670 & <740,1
308,42,Female,Checking,70,WS,HW,15210,22191,-6981,>=740,0
309,18,Female,Saving,6,MS,HW,43677,41850,-36369,>=670 & <740,5
310,43,Male,Investment,69,KT,MW,24945,21196,53639,>=740,1
311,69,Male,Investment,42,FL,MW,24557,31602,115740,>=670 & <740,5
312,45,Male,Saving,32,NJ,HW,57469,40480,246865,>=670 & <740,5
313,65,Male,Saving,2,WS,HW,50635,37847,38364,>=620 & <670,2
314,26,Female,Investment,16,MS,MW,50337,49652,202033,>=670 & <740,5
315,54,Male,Checking,59,KT,MW,62636,65745,181690,>=670 & <740,1
316,34,Male,Investment,87,NJ,LW,30525,32293,-1768,>=670 & <740,0
317,48,Female,Checking,20,WS,HW,47048,64537,-22908,>=670 & <740,2
318,33,Female,Investment,41,NE,HW,22243,24787,-2544,>=620 & <670,1
319,69,Male,Checking,9,MN,HW,38104,49389,-33855,>=620 & <670,4
320,47,Male,Checking,26,NE,MW,26746,23363,87004,>=670 & <740,2
321,55,Female,Saving,94,KT,HW,32424,26607,-74004,>=620 & <670,1
322,52,Female,Investment,89,MS,HW,44878,26985,161328,>=740,5
323,64,Female,Saving,27,KT,HW,9544,9332,-9120,>=740,2
324,23,Male,Saving,67,FL,HW,82309,76978,416876,>=740,0
325,50,Male,Investment,51,NJ,MW,4849,3181,22732,>=670 & <740,2
326,34,Female,Checking,90,TX,MW,100,84,-68,>=620 & <670,4
327,24,Male,Saving,22,MN,MW,58952,56939,123943,>=740,1
328,46,Female,Checking,34,NJ,LW,49791,66064,83309,>=670 & <740,2
329,27,Male,Investment,32,TX,MW,45602,29370,48696,>=740,1
330,19,Female,Checking,72,KT,LW,45708,46431,44985,>=620 & <670,0
331,71,Male,Saving,26,FL,MW,29693,34659,143499,>=740,4
332,34,Male,Saving,9,CA,HW,7568,7561,7575,>=740,2
333,25,Male,Checking,7,WS,HW,31895,31570,65090,>=740,0
334,42,Female,Saving,46,CA,HW,13070,11076,30128,>=620 & <670,4
335,57,Male,Investment,38,MN,MW,54377,59576,-5199,>=670 & <740,3
336,26,Female,Saving,83,KT,LW,26323,39344,92271,>=670 & <740,5
337,40,Female,Investment,63,TX,HW,9362,9850,7898,>=620 & <670,0
338,38,Male,Saving,100,NE,LW,21965,32780,11485,>=740,4
339,32,Male,Saving,32,CA,LW,40323,53817,188121,>=740,1
340,54,Female,Checking,23,WS,LW,15906,14095,53151,>=740,0
341,63,Female,Investment,73,WS,MW,9444,7266,15978,>=620 & <670,3
342,20,Male,Saving,30,LS,LW,36092,38755,-80173,>=740,1
343,69,Male,Checking,92,WS,HW,36124,49123,59249,>=620 & <670,1
344,55,Male,Saving,68,TX,HW,17326,16221,39072,>=740,0
345,39,Female,Checking,18,WS,HW,18224,18099,36948,>=740,2
346,29,Female,Saving,86,LS,HW,35801,33672,113790,>=620 & <670,1
347,64,Male,Investment,74,FL,HW,100,129,371,>=620 & <670,4
348,38,Male,Investment,73,NJ,HW,100,72,528,>=670 & <740,2
349,38,Male,Investment,12,TX,MW,12038,10096,13980,>=670 & <740,2
350,68,Male,Investment,1,MS,MW,24663,31058,-74906,>=740,3
351,40,Female,Saving,62,LS,MW,37772,46023,-108548,>=620 & <670,0
352,36,Male,Checking,34,NJ,LW,66883,50369,166794,>=740,0
353,53,Male,Checking,77,LS,HW,51441,63480,78804,>=740,3
354,28,Male,Saving,43,CA,HW,26001,25178,54471,>=740,2
355,37,Male,Saving,7,FL,MW,29524,40030,19018,>=670 & <740,0
356,45,Male,Checking,85,LS,MW,4936,3392,3088,>=740,2
357,23,Female,Saving,40,FL,MW,29537,41510,47101,>=740,4
358,42,Male,Checking,49,TX,LW,22783,14584,32796,>=670 & <740,1
359,71,Female,Investment,8,WS,HW,38067,45707,-99054,>=740,4
360,44,Male,Investment,8,FL,HW,9319,9102,10187,>=740,1
361,48,Female,Saving,51,MS,MW,42983,60623,93669,>=620 & <670,3
362,29,Male,Saving,25,WS,LW,68318,45809,226672,>=670 & <740,5
363,27,Female,Checking,94,NJ,LW,27280,30027,46319,>=740,2
364,51,Female,Saving,90,LS,MW,40042,52195,-168738,>=620 & <670,1
365,54,Male,Saving,73,NJ,HW,47253,65243,-119213,>=670 & <740,3
366,59,Female,Investment,78,MN,LW,19969,16931,-27786,>=620 & <670,3
367,74,Female,Investment,31,MS,HW,35602,50866,55940,>=670 & <740,2
368,37,Female,Checking,90,NJ,HW,30314,24407,-6686,>=740,2
369,35,Female,Investment,83,NJ,LW,32441,25636,27220,>=740,4
370,73,Female,Saving,66,WS,LW,10674,13220,16256,>=740,4
371,74,Male,Saving,25,CA,HW,30612,25240,97208,>=670 & <740,5
372,30,Female,Checking,60,KT,MW,42449,60734,193960,>=670 & <740,2
373,49,Female,Saving,61,LS,MW,66278,60301,138533,>=670 & <740,0
374,42,Male,Saving,74,CA,HW,53981,63840,196206,>=670 & <740,5
375,44,Male,Investment,2,MN,HW,83829,99139,320006,>=670 & <740,2
376,56,Female,Investment,91,NE,MW,10816,10154,-8168,>=670 & <740,1
377,47,Female,Investment,67,LS,MW,51808,35855,151475,>=740,5
378,56,Female,Checking,88,NJ,MW,34583,31216,10101,>=740,2
379,34,Female,Saving,20,KT,HW,84745,119466,-54139,>=740,2
380,61,Male,Investment,4,MN,HW,9792,8161,6524,>=670 & <740,5
381,20,Male,Checking,93,CA,MW,9006,10577,4293,>=740,2
382,72,Male,Investment,72,WS,LW,15015,15370,43980,>=740,4
383,66,Male,Investment,43,NJ,LW,100,80,-20,>=740,2
